,claim,budget_degrees,budget_relevance,budget_costs
ethiopiadealswithchina,chinaexportswordnet_fabric_103309808,61,0.5022451726692607,61
zambiadealswithchina,chinaexportswordnet_fabric_103309808,54,0.5023016767042682,54
afghanistandealswithchina,chinaexportswordnet_fabric_103309808,66,0.5023639025987936,66
central_african_republicdealswithchina,chinaexportswordnet_fabric_103309808,39,0.5023724854750938,39
albaniadealswithchina,chinaexportswordnet_fabric_103309808,44,0.5023836908948253,44
belarusdealswithchina,chinaexportswordnet_fabric_103309808,80,0.5025822886708743,80
burundidealswithchina,chinaexportswordnet_fabric_103309808,43,0.5027460775829093,43
chinahasneighborkyrgyzstan,chinaexportswordnet_fabric_103309808,29,0.5032143150027132,29
kyrgyzstanhasneighborchina,chinaexportswordnet_fabric_103309808,33,0.5032405399536962,33
somaliadealswithchina,chinaexportswordnet_fabric_103309808,44,0.5034260213623857,44
eritreadealswithchina,chinaexportswordnet_fabric_103309808,43,0.5040089224986312,43
uzbekistandealswithchina,chinaexportswordnet_fabric_103309808,47,0.5045045587579761,47
moldovadealswithchina,chinaexportswordnet_fabric_103309808,43,0.5053246392479341,43
chinaparticipatedinoperation_enduring_freedom,chinaexportswordnet_fabric_103309808,21,0.506173058593858,21
togodealswithchina,chinaexportswordnet_apparel_102728440,30,0.5013984405292491,30
laosdealswithchina,chinaexportswordnet_apparel_102728440,34,0.5014744954280916,34
libyadealswithchina,chinaexportswordnet_apparel_102728440,64,0.5015846437803765,64
little_vietnamislocatedinchina,chinaexportswordnet_apparel_102728440,32,0.5016049091534306,32
the_gambiadealswithchina,chinaexportswordnet_apparel_102728440,19,0.5016428173076405,19
chinahasneighborvietnam,chinaexportswordnet_apparel_102728440,29,0.5021220318224229,29
affymetrixislocatedinchina,chinaexportswordnet_apparel_102728440,9,0.5027819584825243,9
costa_ricadealswithchina,chinaexportswordnet_apparel_102728440,39,0.5029323956922888,39
jamaicadealswithchina,chinaexportswordnet_apparel_102728440,29,0.5030530311707675,29
comorosdealswithchina,chinaexportswordnet_apparel_102728440,25,0.5033648698171295,25
haitidealswithchina,chinaexportswordnet_apparel_102728440,26,0.5036780170769595,26
the_white_countessislocatedinchina,chinaexportswordnet_apparel_102728440,7,0.503879350064741,7
red_river_(asia)islocatedinchina,chinaexportswordnet_apparel_102728440,9,0.5048186479219194,9
panamadealswithchina,chinaexportswordnet_apparel_102728440,41,0.505164320394807,41
chinaparticipatedincambodian–vietnamese_war,chinaexportswordnet_apparel_102728440,21,0.5058566037423616,21
belizedealswithchina,chinaexportswordnet_apparel_102728440,26,0.5060901014059219,26
nicaraguadealswithchina,chinaexportswordnet_apparel_102728440,39,0.5063841449524585,39
the_bahamasdealswithchina,chinaexportswordnet_apparel_102728440,25,0.506597731994377,25
sinofrench_warhappenedinchina,chinaexportswordnet_apparel_102728440,8,0.506751603760402,8
guyanadealswithchina,chinaexportswordnet_apparel_102728440,32,0.5071583863204714,32
barbadosdealswithchina,chinaexportswordnet_apparel_102728440,25,0.5097519903820742,25
dominican_republicdealswithchina,chinaexportswordnet_apparel_102728440,44,0.5100844534170952,44
