,budget_degrees,budget_relevance,budget_costs,claim
Ocean's Thirteen /award/award_winning_work/awards_won./award/award_honor/award_winner George Clooney,35,0.5092238451042849,35,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
Casey Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee George Clooney,49,0.5110162547310704,49,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
George Clooney /award/award_nominee/award_nominations./award/award_nomination/award_nominee Catherine Zeta-Jones,67,0.5136534594619309,67,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
George Clooney /award/award_nominee/award_nominations./award/award_nomination/nominated_for Ocean's Eleven,2,0.5173439506951754,2,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
George Clooney /film/actor/film./film/performance/film Three Kings,15,1.5033831080079112,15,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
George Clooney /film/actor/film./film/performance/film Ocean's Thirteen,15,1.5231499738904084,15,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
George Clooney /film/actor/film./film/performance/film Ocean's Eleven,15,1.5283903553501754,15,George Clooney /film/actor/film./film/performance/film Ocean's Twelve
George Clooney /award/award_nominee/award_nominations./award/award_nomination/award_nominee Grant Heslov,67,0.5038003189672504,67,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
George Clooney /award/award_nominee/award_nominations./award/award_nomination/award_nominee Frank Langella,67,0.5038035374319703,67,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
Peter Jacobson /award/award_nominee/award_nominations./award/award_nomination/award_nominee George Clooney,42,0.5038063982892345,42,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
Patricia Clarkson /award/award_nominee/award_nominations./award/award_nomination/award_nominee George Clooney,78,0.5045208891002861,78,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
George Clooney /award/award_nominee/award_nominations./award/award_nomination/award_nominee Tate Donovan,67,0.5047651278671644,67,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
George Clooney /award/award_nominee/award_nominations./award/award_nomination/award_nominee Patricia Clarkson,67,0.5048418915639385,67,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
Tom McCarthy /award/award_nominee/award_nominations./award/award_nomination/award_nominee George Clooney,53,0.5050342765880835,53,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
Ray Wise /award/award_nominee/award_nominations./award/award_nomination/award_nominee George Clooney,28,0.5054460994213035,28,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
George Clooney /award/award_nominee/award_nominations./award/award_nomination/award_nominee Peter Jacobson,67,0.5055070080600681,67,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
Frank Langella /award/award_nominee/award_nominations./award/award_nomination/award_nominee George Clooney,56,0.5055935433396805,56,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
Tate Donovan /award/award_nominee/award_nominations./award/award_nomination/award_nominee George Clooney,66,0.5057011755952576,66,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
Alex Borstein /award/award_nominee/award_nominations./award/award_nomination/award_nominee George Clooney,51,0.5065747285935959,51,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
George Clooney /award/award_nominee/award_nominations./award/award_nomination/award_nominee Jeff Daniels,67,0.5073073667494329,67,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
David Strathairn /award/award_nominee/award_nominations./award/award_nomination/award_nominee George Clooney,66,0.507598172783508,66,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
George Clooney /award/award_nominee/award_nominations./award/award_nomination/award_nominee Alex Borstein,67,0.5077762293626291,67,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
"George Clooney /film/director/film Good Night, and Good Luck.",21,0.5089499926439263,21,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
George Clooney /award/award_nominee/award_nominations./award/award_nomination/award_nominee David Strathairn,67,0.5090765517691981,67,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
"Good Night, and Good Luck. /film/film/written_by George Clooney",71,0.5095227169230397,71,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
George Clooney /film/actor/film./film/performance/film Syriana,15,0.5134572660710959,15,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
"Good Night, and Good Luck. /award/award_winning_work/awards_won./award/award_honor/award_winner George Clooney",71,0.5176622066361027,71,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
"George Clooney /award/award_nominee/award_nominations./award/award_nomination/nominated_for Good Night, and Good Luck.",2,0.5183365329494838,2,"George Clooney /film/actor/film./film/performance/film Good Night, and Good Luck."
