,budget_degrees,budget_relevance,budget_costs,claim
Ben Affleck /film/director/film Gone Baby Gone,4,1.5069881895241934,4,Ben Affleck /film/director/film The Town
Chris Messina /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,40,0.5009795414790739,40,Ben Affleck /film/director/film Argo
Ben Affleck /base/popstra/celebrity/canoodled./base/popstra/canoodled/participant Krista Allen,61,0.5010430797703829,61,Ben Affleck /film/director/film Argo
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Chris Messina,1,0.5011807658180157,1,Ben Affleck /film/director/film Argo
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Clea DuVall,58,0.5011895872558781,58,Ben Affleck /film/director/film Argo
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Alan Arkin,58,0.5013215511064998,58,Ben Affleck /film/director/film Argo
Kyle Chandler /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,48,0.5015948956756353,48,Ben Affleck /film/director/film Argo
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Bryan Cranston,58,0.5016782220761281,58,Ben Affleck /film/director/film Argo
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Rory Cochrane,58,0.5019922151042796,58,Ben Affleck /film/director/film Argo
Clea DuVall /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,36,0.5019990099255416,36,Ben Affleck /film/director/film Argo
Victor Garber /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,56,0.5025822886708743,56,Ben Affleck /film/director/film Argo
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Rory Cochrane,1,0.502766580957605,1,Ben Affleck /film/director/film Argo
Rory Cochrane /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,45,0.502796501563265,45,Ben Affleck /film/director/film Argo
Tate Donovan /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,48,0.5028136671606718,48,Ben Affleck /film/director/film Argo
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Victor Garber,58,0.5031894012828956,58,Ben Affleck /film/director/film Argo
Victor Garber /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,56,0.5040020088035523,56,Ben Affleck /film/director/film Argo
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award Academy Award for Best Picture,39,0.5047700150036623,39,Ben Affleck /film/director/film Argo
BAFTA Award for Best Direction /award/award_category/winners./award/award_honor/award_winner Ben Affleck,125,0.5062735364563968,125,Ben Affleck /film/director/film Argo
BAFTA Award for Best Film /award/award_category/winners./award/award_honor/award_winner Ben Affleck,120,0.5083739079471028,120,Ben Affleck /film/director/film Argo
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award Golden Globe Award for Best Director,39,0.5085138197385459,39,Ben Affleck /film/director/film Argo
Argo /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,123,0.5219984996336382,123,Ben Affleck /film/director/film Argo
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for Argo,44,0.5286130276481148,44,Ben Affleck /film/director/film Argo
