,budget_degrees,budget_relevance,budget_costs,claim
Ben Affleck /film/actor/film./film/performance/film Jersey Girl,142,1.51423510561665,142,Ben Affleck /film/actor/film./film/performance/film Pearl Harbor
BAFTA Award for Best Film /award/award_category/winners./award/award_honor/award_winner Ben Affleck,116,0.5024934800384662,116,Ben Affleck /film/actor/film./film/performance/film Argo
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Rory Cochrane,4,0.5025775204262436,4,Ben Affleck /film/actor/film./film/performance/film Argo
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee John Goodman,4,0.5026074411535066,4,Ben Affleck /film/actor/film./film/performance/film Argo
Bryan Cranston /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,73,0.5026075603595542,73,Ben Affleck /film/actor/film./film/performance/film Argo
Chris Messina /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,40,0.5028071108568875,40,Ben Affleck /film/actor/film./film/performance/film Argo
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award Golden Globe Award for Best Director,3,0.502890197034505,3,Ben Affleck /film/actor/film./film/performance/film Argo
Clea DuVall /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,36,0.5030042763603071,36,Ben Affleck /film/actor/film./film/performance/film Argo
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Chris Messina,4,0.5030735343989539,4,Ben Affleck /film/actor/film./film/performance/film Argo
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Kyle Chandler,4,0.503111918321552,4,Ben Affleck /film/actor/film./film/performance/film Argo
Rory Cochrane /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,45,0.5033591480299386,45,Ben Affleck /film/actor/film./film/performance/film Argo
Chris Messina /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,40,0.5033956244081431,40,Ben Affleck /film/actor/film./film/performance/film Argo
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/award_nominee Chris Messina,4,0.5034460475772382,4,Ben Affleck /film/actor/film./film/performance/film Argo
Kyle Chandler /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,52,0.5037204532610421,52,Ben Affleck /film/actor/film./film/performance/film Argo
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Clea DuVall,4,0.503724744557582,4,Ben Affleck /film/actor/film./film/performance/film Argo
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Kyle Chandler,4,0.5040284715591699,4,Ben Affleck /film/actor/film./film/performance/film Argo
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Alan Arkin,4,0.5046864567647337,4,Ben Affleck /film/actor/film./film/performance/film Argo
Ben Affleck /award/award_winner/awards_won./award/award_honor/award_winner Bryan Cranston,4,0.5049914847548524,4,Ben Affleck /film/actor/film./film/performance/film Argo
Victor Garber /award/award_nominee/award_nominations./award/award_nomination/award_nominee Ben Affleck,51,0.5064833106593142,51,Ben Affleck /film/actor/film./film/performance/film Argo
Victor Garber /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,51,0.5071768599632489,51,Ben Affleck /film/actor/film./film/performance/film Argo
Tate Donovan /award/award_winner/awards_won./award/award_honor/award_winner Ben Affleck,51,0.5076705159526365,51,Ben Affleck /film/actor/film./film/performance/film Argo
Ben Affleck /film/director/film Argo,53,0.510094224598597,53,Ben Affleck /film/actor/film./film/performance/film Argo
Argo /award/award_winning_work/awards_won./award/award_honor/award_winner Ben Affleck,123,0.5164498306499647,123,Ben Affleck /film/actor/film./film/performance/film Argo
Ben Affleck /award/award_nominee/award_nominations./award/award_nomination/nominated_for Argo,129,0.5218655990595147,129,Ben Affleck /film/actor/film./film/performance/film Argo
